Code,Name,Category Code,Unit,Size,Cost,Price,Alert Quantity, Tax Rate Name
STD 69 Callout,STD $69 Callout Charge,C1,box,NA,0,62.73,2,GST
STD 69 Callout,STD $69 Callout Charge,C1,box,NA,0,62.73,2,GST
1/2 LBR,STD 1/2hr labour,C1,box,NA,0,54.55,2,GST
1/2 LBR,STD 1/2hr labour,C1,box,NA,0,54.55,2,GST
1/2 LBR,STD 1/2hr labour,C1,box,NA,0,54.55,2,GST
1/4LBR,STD 1/4 Labour,C1,box,NA,0,27.27,2,GST
SE100,ELE WHSE FAN 2200W-SE100,C1,box,NA,20.91,62.73,2,GST
525884P,MOTOR ROTOR FP DD-525884P,C1,box,NA,29.7,89.09,2,GST
W035WU,INLET VALVE-W035WU,C1,box,NA,20.91,62.73,2,GST
3447,ELEMENT FF BLANCO-3447,C1,box,NA,29.7,89.09,2,GST
46197140165,Double Valve WPOOL,C1,box,NA,79,79,2,GST
CB29,CALL BACK 29,C1,box,NA,26.36,26.36,2,GST
CB29,CALL BACK 29,C1,box,NA,26.36,26.36,2,GST
GLO32-02,Lower Bake Element GLO32-02,C1,box,NA,0,89.09,2,GST
NS$15,FREIGHT NORTHSIDE $15,C1,box,NA,15,15,2,GST
GLO-GLO12-03,Element Grill 10cm plate SNG B60100 1300W,C1,box,NA,37,89.09,2,GST
GLO13-01,Lower Bake Element GLO13-01,C1,box,NA,99,99,2,GST
55.17059.150,Thermostat 5517039150,C1,box,NA,82,82,2,GST
1438545,Water Filter 1438545,C1,box,NA,35,70,2,GST
6871DD1015L,MAIN PCB LG 6871DD1015L,C1,box,NA,55,110,2,GST
5215ED10002A,VALVE AND HOSE LG 5215ED10002A,C1,box,NA,41.8,89,2,GST
FIX$9,FREIGHT FIXZIT $9,C1,box,NA,8.1,9,2,GST
DA62-00092A,HOSE SAMSUNG DA62-00092A,C1,box,NA,12.7,29,2,GST
SAM$20,FREIGHT SAMSUNG $20,C1,box,NA,20,20,2,GST
DS Freight,Freight DS,C1,box,NA,4.54,4.55,2,GST
GLO-9666,Blanco 9666 fan forced element,C1,box,NA,25.5,89.09,2,GST
790769,Fisher & Paykel Heater Assy 790769,C1,box,NA,0,114.55,2,GST
Fp1033,Door Hinge (oven) Delonghi FP1033,C1,box,NA,0,62.73,2,GST
FP1009,Thermostat (oven) Delonghi FP1009,C1,box,NA,0,99.09,2,GST
19362,"019362, DOOR HINGES (EMILIA OVEN) 019362",C1,box,NA,74.75,107.98,2,GST
